ticker,headline,date,eventRet,Close,sent_blob,sent_finbert_score
AMZN,"Whole Foods (WFMI) -5.2% following a downgrade to ""hold"" from ""buy"" at Jefferies. Gas prices are the culprit, writes Scott Mushkin, claiming at $4/gallon, even the affluent who patronize the upscale grocery begin to take notice. Whole Foods announces earnings after Wednesday's close.",2011-05-02,0.0312690999697731,10.059499740600586,0.26249999999999996,0
NFLX,"Netflix (NFLX +1.1%) shares post early gains after Citigroup ups its rating to Buy and lifts its price target to $300 from $245. U.S. revenue growth is sustainable, Citi says, ""with a path to 50M subscribers by 2013,"" adding that NFLX has little competition in price, selection and  convenience; mass market adoption of tablets will help, and the mass-market adoption phase is still to come.",2011-05-02,0.012173101665849,33.88428497314453,-0.04375,1
AMZN,"Amazon.com (AMZN -1.7%) shares slip as comments circulate from CEO Jeff Bezos that the company will cease affiliate operations in states that force it to collect sales tax. Amazon has already announced plans to cancel its affiliate program in Illinois, and Bezos says ""we will continue to drop states who pass those affiliate laws.""",2011-05-12,0.0104264696481783,10.303500175476074,0.0,-1
NVDA,"Nvidia (NVDA -8.2%) shares slump after Needham downgrades the stock to Hold from Buy despite its solid Q1 beat and positive outlook, noting  concerns about the chip company's core graphics processor business that are not fully offset by its momentum in tablets and smartphones. Citigroup and Bank of America also cut price targets.",2011-05-13,-0.0775621867673754,0.4186494052410126,0.11363636363636363,-1
GOOG,"It's been some time coming, but Google (GOOG -1.9%) makes its first trip into the bond market with a planned $3B sale that should be ""scooped up like nobody's business."" The company had $35B in cash and marketable securities at 2010's end, but will pay back short-term borrowings as investment-grade borrowing costs are about the lowest since November.",2011-05-16,-0.0312973605091455,12.865873336791992,0.125,0
AMZN,"Amazon (AMZN -1.2%) moves nicely off its low for the day following a note on engadget.com that says the company may launch 7"" and 10"" Android tablet devices this year.",2011-05-23,-0.0129870680166944,9.810999870300291,0.19999999999999998,1
JPM,"The investigation by New York AG Eric Schneiderman into mortgage securitization is reportedly adding JPMorgan Chase (JPM -1.1%), UBS (UBS -2.2%) and Deutsche Bank (DB -2.7%), along with four bond insurers. The state probe - already poking at GS, BAC, MS - could blow up a $5B settlement deal.",2011-05-23,-0.0332202372462369,29.2530574798584,0.13636363636363635,0
NFLX,"Today's strength in Netflix (NFLX +4.8%) is attributed to comments from Mark Zuckerberg that Facebook has  been in discussions with NFLX related to potential integration of social networking tools. Music, TV shows and books will be among the next products to go social through the website, Zuckerberg says.",2011-05-25,0.0470121669647428,37.067142486572266,0.013333333333333332,1
TSLA,"Tesla Motors (TSLA +3.6%) announces a follow-on offering of 5.3M shares, from which it will use funds to develop its Model X crossover electric vehicle. CEO Elon Musk will buy 1.5M shares in a concurrent offering.",2011-05-25,0.0808523255056277,1.932000041007996,0.0,0
GOOG,"Google (NASDAQ:GOOG) has taken a ""failed approach so far"" to tablet computing, Steve Ballmer (MSFT +2.4%) says - but he thinks the iPad (NASDAQ:AAPL) has turned out all right. The remarks came as Microsoft's CEO laid out the company's issues with Chinese piracy: Its revenue there is 5% of that in the U.S., though PC sales are about equal in the two countries. (Einhorn earlier)",2011-05-26,-0.0002428513375062,12.858675956726074,-0.019047619047619053,-1
TSLA,Tesla Motors (TSLA +6.3%) jumps premarket after pricing its follow-on offering of 5.3M shares at yesterday's $28.76 closing price and disclosing CEO Elon Musk plans to purchase an additional 1.4M shares in a private placement.,2011-06-03,0.0560511190787071,2.0086669921875,0.0,1
